,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
155,S2,test_based_TTI_test_contacts,16,1.8162402759588339,4.120821114369502,178.632,25.212,230.532,1130.904,84.312,12.707999999999998,28.54814944307285,5.895574510809354
156,S2,test_based_TTI_test_contacts,18,1.7620458601960407,3.828978622327791,177.036,27.348,230.496,1138.608,77.376,10.224,25.51953843031539,6.025038826842993
157,S2,test_based_TTI_test_contacts,18,1.8315895530598885,4.030391583869083,193.176,31.944,243.25199999999998,1160.184,82.752,9.948,29.314550174761955,5.883253121812395
158,S2,test_based_TTI_test_contacts,20,1.7097574349413178,3.986026731470231,179.196,27.144000000000002,233.076,1127.28,78.732,11.604,27.60670778854325,5.750163356495818
159,S2,test_based_TTI_test_contacts,20,1.8308805789499334,3.988228369629194,180.816,25.68,234.79199999999997,1138.944,81.312,10.296,28.225451620647515,5.462555135721206
160,S3,no_TTI,2,1.3009280396919896,4.032947976878613,0.0,0.0,0.0,791.1360000000001,83.724,40.476,16.240733895994293,-1.0658141036401503e-17
161,S3,no_TTI,2,1.1363441591893355,3.8169350029815146,0.0,0.0,0.0,823.968,76.812,36.096000000000004,17.84821014047381,4.39648317751562e-17
162,S3,no_TTI,4,1.3937726748991635,3.824052132701422,0.0,0.0,0.0,821.1360000000001,77.46,29.364,19.863740697242555,2.6645352591003758e-18
163,S3,no_TTI,4,1.4345769910624337,3.8625386996904023,0.0,0.0,0.0,819.36,74.85600000000001,28.692,18.361897913210036,-1.865174681370263e-17
164,S3,no_TTI,6,1.5326943483969344,3.8991696322657177,0.0,0.0,0.0,852.144,78.888,25.656,22.222527943233224,-2.7977620220553945e-17
